property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,floor_num,total_floors,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,smart world gems,sector 89,1.2,8433.0,3.0,3.0,2.0,0.2,New Property,2.0,4.0,1581.0,0,0,0,0,0,2,35
flat,gls arawali homes,sohna road,0.3,4688.0,2.0,2.0,2.0,0.2,Moderately Old,4.0,13.0,711.0,0,0,0,0,0,2,30
flat,signature global park,sohna road,0.56,6813.0,2.0,2.0,3.0,0.2,New Property,3.0,4.0,913.0,0,0,0,0,0,2,75
flat,bestech park view city,sector 49,2.7,12506.0,3.0,4.0,3.0,0.2,Moderately Old,6.0,14.0,1954.0,0,0,0,0,0,2,0
flat,shree vardhman flora,sector 90,1.0,5128.0,3.0,4.0,3.0,0.2,New Property,8.0,13.0,1765.0,0,1,0,0,0,2,67
flat,afnhb jalvayu vihar,sector 30,1.45,11154.0,3.0,2.0,2.0,0.2,Old Property,2.0,4.0,1300.0,0,0,0,0,0,1,31
flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,0.0,0.2,Moderately Old,4.0,4.0,1423.0,0,0,0,0,0,2,30
flat,pyramid elite,sector 86,0.46,79.0,2.0,2.0,1.0,0.2,Under Construction,0.0,14.0,64591.0,0,0,0,0,0,2,15
flat,emaar mgf palm terraces,sector 66,4.5,10598.0,5.0,5.0,3.0,0.2,New Property,11.0,11.0,3322.0,0,1,0,0,0,2,69
flat,hcbs sports ville,sohna road,0.28,3769.0,2.0,2.0,1.0,0.2,Moderately Old,11.0,13.0,743.0,0,0,0,0,0,2,29
flat,puri the aravallis,sector 61,3.87,17200.0,3.0,4.0,3.0,0.2,Moderately Old,21.0,41.0,1712.0,0,1,0,0,0,2,43
flat,brisk lumbini terrace homes,sector 109,1.38,6339.0,3.0,3.0,1.0,0.2,Moderately Old,4.0,13.0,2419.0,0,0,0,0,0,2,20
flat,huda ashok vihar phase,sector 4,0.43,6615.0,2.0,2.0,1.0,0.2,Moderately Old,2.0,5.0,722.0,0,0,0,0,0,2,7
flat,my home,new palam vihar,0.28,3167.0,2.0,1.0,1.0,0.2,Moderately Old,2.0,3.0,1000.0,0,0,0,0,1,2,15
flat,signature global city,sector 37d,1.1,9839.0,2.0,2.0,2.0,0.2,Moderately Old,4.0,4.0,1242.0,0,0,0,0,0,2,22
flat,m3m heights,sector 65,2.0,13957.0,2.0,2.0,2.0,0.2,Moderately Old,32.0,32.0,1433.0,0,0,0,0,0,2,31
flat,signature global park,sohna road,0.9,8036.0,3.0,2.0,2.0,0.2,Moderately Old,2.0,4.0,1014.0,0,0,0,0,0,2,75
flat,signature global park,sohna road,0.9,8036.0,3.0,2.0,0.0,0.2,Moderately Old,2.0,2.0,1120.0,0,0,0,0,0,2,51
flat,godrej nature plus,sector-33 sohna,1.75,8768.0,3.0,3.0,0.0,0.2,New Property,2.0,2.0,1996.0,0,0,0,0,0,2,15
flat,supertech hues,sector 68,0.93,8611.0,2.0,2.0,2.0,0.2,New Property,11.0,11.0,1200.0,0,0,0,0,0,2,0
flat,dlf new town heights,sector 90,1.8,6601.0,4.0,4.0,3.0,0.2,Moderately Old,23.0,26.0,2468.0,0,0,0,0,0,2,15
flat,central park flower valley aqua front towers,sector-33 sohna,2.1,11738.0,3.0,3.0,2.0,0.2,Under Construction,6.0,12.0,1619.0,0,0,0,0,0,2,24
flat,ambience creacions,sector 22,2.0,14493.0,2.0,2.0,2.0,0.2,Moderately Old,9.0,20.0,1533.0,0,0,0,0,0,2,35
flat,signature global city 63a,sector 63a,2.0,12804.0,3.0,3.0,2.0,0.2,Moderately Old,1.0,4.0,1540.0,0,0,0,0,0,2,22
flat,godrej oasis,sector 88a,1.29,7799.0,3.0,3.0,3.0,0.2,New Property,5.0,15.0,1641.0,1,0,0,0,1,2,46
flat,m3m skycity,sector 65,2.85,15591.0,3.0,3.0,3.0,0.2,Moderately Old,43.0,47.0,1654.0,0,0,0,0,0,0,75
flat,supertech araville,sector 79,1.1,5641.0,3.0,3.0,3.0,0.2,Moderately Old,1.0,1.0,2166.0,0,0,0,0,0,0,52
flat,smart world orchard,sector 61,1.65,13750.0,2.0,2.0,2.0,0.2,Under Construction,1.0,4.0,1333.0,1,0,0,0,0,2,16
flat,hcbs sports ville,sohna road,0.24,7407.0,1.0,1.0,2.0,0.2,New Property,1.0,13.0,360.0,0,0,0,0,0,2,52
flat,emaar palm premier,sector 77,2.1,10500.0,3.0,4.0,3.0,0.2,New Property,11.0,12.0,1600.0,0,1,0,0,0,0,68
flat,godrej nature plus,sector-33 sohna,1.9,9850.0,3.0,3.0,3.0,0.2,New Property,14.0,24.0,2143.0,0,1,0,0,0,2,60
flat,godrej aria,sector 79,1.1,11482.0,2.0,2.0,3.0,0.2,New Property,9.0,30.0,81.0,0,0,0,0,0,2,8
flat,ramsons kshitij,sector 95,0.32,4501.0,2.0,2.0,1.0,0.2,Moderately Old,8.0,14.0,563.0,0,0,0,0,1,1,15
flat,conscient one,sector 109,1.7,17617.0,1.0,1.0,2.0,0.2,Moderately Old,9.0,9.0,965.0,0,0,0,0,0,2,0
flat,pareena laxmi apartments,sector 99a,0.32,6107.0,2.0,2.0,2.0,0.2,New Property,2.0,12.0,473.0,0,0,0,0,0,2,38
flat,pyramid elite,sector 86,0.45,7745.0,2.0,2.0,1.0,0.2,Moderately Old,4.0,14.0,646.0,0,0,0,0,0,2,50
flat,raheja revanta,sector 78,1.2,10017.0,1.0,2.0,2.0,0.2,Under Construction,32.0,55.0,823.0,0,0,0,0,0,2,39
flat,m3m skycity,sector 65,2.1,16031.0,2.0,2.0,2.0,0.2,New Property,43.0,47.0,1186.0,0,0,0,0,0,2,75
flat,not applicable,sector 4,0.42,5600.0,2.0,2.0,1.0,0.2,Moderately Old,3.0,4.0,833.0,0,0,0,0,0,0,13
