property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 89,3.0,3.0,2.0,New Property,2.0,4.0,1852.0,0,0,0,Medium,Low Floor,1.2
flat,sohna road,2.0,2.0,2.0,Moderately Old,4.0,13.0,833.0,0,0,0,Medium,Low Floor,0.3
flat,sohna road,2.0,2.0,3.0,New Property,3.0,4.0,1070.0,0,0,0,High,Low Floor,0.56
flat,sector 49,3.0,4.0,3.0,Moderately Old,6.0,14.0,2159.02,0,0,0,Low,Low Floor,2.7
flat,sector 90,3.0,4.0,3.0,New Property,8.0,13.0,1949.99,1,0,0,High,Low Floor,1.0
flat,sector 30,3.0,2.0,2.0,Old Property,2.0,4.0,1299.96,0,0,2,Medium,Low Floor,1.45
flat,sector 89,3.0,3.0,0.0,New Property,4.0,4.0,1422.99,0,0,0,Medium,Low Floor,1.25
flat,sector 86,2.0,2.0,1.0,Under Construction,0.0,14.0,75654.0,0,0,0,Low,Low Floor,0.46
flat,sector 66,5.0,5.0,3.0,New Property,11.0,11.0,3669.95,1,0,0,High,Low Floor,4.5
flat,sohna road,2.0,2.0,1.0,Moderately Old,11.0,13.0,743.03,0,0,0,Low,Low Floor,0.28
flat,sector 61,3.0,4.0,3.0,Under Construction,21.0,41.0,2249.98,1,0,0,Medium,Low Floor,3.87
flat,sector 109,3.0,3.0,1.0,Moderately Old,4.0,13.0,2833.0,0,0,0,Low,Low Floor,1.38
flat,sector 4,2.0,2.0,1.0,Moderately Old,2.0,5.0,846.0,0,0,0,Low,Low Floor,0.43
flat,new palam vihar,2.0,1.0,1.0,Moderately Old,2.0,3.0,1171.0,0,0,0,Low,Low Floor,0.28
flat,sector 37d,2.0,2.0,2.0,Moderately Old,4.0,4.0,1455.0,0,0,0,Low,Low Floor,1.1
flat,sector 65,2.0,2.0,2.0,Moderately Old,32.0,32.0,1433.0,0,0,0,Medium,Low Floor,2.0
flat,sohna road,3.0,2.0,2.0,Under Construction,2.0,4.0,1119.98,0,0,0,High,Low Floor,0.9
flat,sohna road,3.0,2.0,0.0,Under Construction,2.0,2.0,1119.98,0,0,0,Medium,Low Floor,0.9
flat,sector-33 sohna,3.0,3.0,0.0,Under Construction,2.0,2.0,1995.95,0,0,0,Low,Low Floor,1.75
flat,sector 68,2.0,2.0,2.0,New Property,11.0,11.0,1405.0,0,0,0,Low,Low Floor,0.93
flat,sector 90,4.0,4.0,3.0,Moderately Old,23.0,26.0,2727.03,0,0,0,Low,Low Floor,1.8
flat,sector-33 sohna,3.0,3.0,2.0,Under Construction,6.0,12.0,1788.96,0,0,0,Low,Low Floor,2.1
flat,sector 22,2.0,2.0,2.0,Moderately Old,9.0,20.0,1796.0,0,0,0,Medium,Low Floor,2.0
flat,sector 63a,3.0,3.0,2.0,Under Construction,1.0,4.0,1539.99,0,0,0,Low,Low Floor,2.0
flat,sector 88a,3.0,3.0,3.0,New Property,5.0,15.0,1629.01,0,0,0,Medium,Low Floor,1.29
flat,sector 65,3.0,3.0,3.0,Under Construction,43.0,47.0,1828.03,0,0,1,High,Low Floor,2.85
flat,sector 79,3.0,3.0,3.0,Moderately Old,1.0,1.0,2537.0,0,0,1,Medium,Low Floor,1.1
flat,sector 61,2.0,2.0,2.0,Under Construction,1.0,4.0,1561.0,0,0,0,Low,Low Floor,1.65
